Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2019,12,Gina Cortesi,OH,6-1,,International Business,Jr.,"Redondo Beach, Calif. / South HS"
2019,15,Alyson Penrose,L,5-4,,Political Science,Sr.,"Clovis, Calif. / Clovis North HS"
2019,19,Josie Collier,OPP,6-1,,"Ecology, Behavior, and Evolution",Fr.,"Hemet, Calif. / Hemet HS"
2019,21,Sydney Tekstra,OH,6-0,,International Business,Sr.,"Irvine, Calif. / Woodbridge HS"
2019,22,Marin Willick,OH,5-11,,Global Health,Fr.,"Culver City, Calif. / Windward HS"
2019,25,Cindy Tran,OH,6-1,,Public Health,Sr.,"Irvine, Calif. / Arnold O. Beckman HS"
2020,1,Susanna Limb,L,5-8,,,Jr.,"Palo Alto, Calif. / Palo Alto HS"
2020,2,Brie Severino,S,6-0,,,Jr.,"Del Mar, Calif. / Torrey Pines HS"
2020,4,Ava McInnes,MB,6-2,,,Fr.,"Tustin, Calif. / Tustin HS"
2020,5,Sarah Rieble,MB/OPP,6-1,,,So.,"Pleasanton, Calif. / Amador Valley HS"
2020,6,Grace Cannon,MB,6-0,,,So.,"Tustin, Calif. / Foothill"
2020,7,Jovana Papaz,OH,6-0,,,Jr.,"East Sarajevo, Bosnia / High School Institute Istocna"
2020,8,Emily Hubbard,OH,6-0,,,Sr.,"San Diego, Calif. / Santa Fe Christian HS"
2020,9,Trinity Castaneda,OH,6-1,,,Jr.,"Indio, Calif. / Shadow Hills HS"
2020,10,Isabela Dobra,S,5-7,,,Sr.,"Bucharest, Romania / Colegiul Tehnic Anghel Saligny"
2020,11,Dani Mason,MB/OPP,6-1,,,R-Fr.,"Las Vegas, Nev. / The Meadows School"
2020,12,Gina Cortesi,OH,6-1,,,Sr.,"Redondo Beach, Calif. / South HS"
2020,14,Morgan Gallagher,OH,6-1,,,Jr.,"Ventura, Calif. / Foothill Technology HS"
2020,16,Izzi Strand,S,6-1,,,Fr.,"Danville, Calif. / Monte Vista"
2020,19,Josie Collier,OPP,6-1,,,So.,"Hemet, Calif. / Hemet HS"
2020,22,Marin Willick,OH,5-11,,,So.,"Culver City, Calif. / Windward HS"
2020,23,Natalie Repetti,L,5-10,,,Fr.,"Cypress, Calif. / Cypress HS"
2020,24,Odeya Russo,OH,5-10,,,Fr.,"Palo Alto, Calif. / Gunn HS"
2020,25,Cindy Tran,MB/OPP,6-1,,,Gr.,"Irvine, Calif. / Arnold O. Beckman HS"
2021,0,Izabella Santa Cruz,S,5-10,,,Fr.,"Rancho Cucamonga, Calif. / Los Osos HS"
2021,1,Susanna Limb,L,5-8,,,Sr.,"Palo Alto, Calif. / Palo Alto HS"
2021,2,Naya Dong,L,5-5,,,Jr.,"Kailua, Hawaii / Iolani School"
2021,3,Juliette Bokor,MB,6-1,,,Fr.,"Fountain Valley, Calif. / Fountain Valley HS"
2021,4,Ava McInnes,OH,6-2,,,R-Fr.,"Tustin, Calif. / Tustin HS"
2021,5,Sabire Karacaova,OH,5-10,,,Fr.,"Istanbul, Turkey / TED Istanbul College"
2021,6,Grace Cannon,OPP,6-0,,,So.,"Tustin, Calif. / Foothill"
2021,7,Jovana Papaz,OH,6-0,,,Sr.,"East Sarajevo, Bosnia / High School Institute Istocna"
