Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2021,19,Blake Dickman,C/1B,6-3,,Public Health,R-So.,"Littleton, Calif. / Elk Grove HS"
2021,20,Aaron Kim,C,6-1,,Communication,R-Sr.,"Orange, CA / Orange Lutheran HS"
2021,21,Mark Quinby,RHP,6-0,,Cognitive Science,R-Sr.,"Gilroy, CA / Valley Christian HS"
2021,22,Noah Conlon,RHP,6-0,,Finance,Sr.,"Placentia, Calif. / El Dorado HS"
2021,23,Anthony Lucchetti,OF,6-1,,Political Science - Political Theory,Sr.,"Linden, Calif. / Linden HS"
2021,24,Brandon Weed,RHP,6-0,,International Business,Sr.,"Lemon Grove, CA / Grossmont HS"
2021,25,Luke O'Brien,INF,5-8,,Communications,Sr.,"Danville, CA / De La Salle HS"
2021,27,Zach Tresemer,RHP,6-2,,Sociology,R-Sr.,"Elk Grove, CA / Franklin HS"
2021,28,Luke Mattson,RHP,6-2,,Communication,Sr.,"Orange, CA / Orange Lutheran HS"
2021,29,Blake FitzGerald,C,6-1,,Political Science,Jr.,"Mission Viejo, Calif. / Capistrano Valley HS"
2021,30,Aren Alvarez,RHP,5-11,,Public Health,So.,"Rancho Cucamonga, Calif. / Los Osos HS"
2021,31,Noah Sudyka,INF,6-0,,Real Estate and Development,Fr.,"Aliso Viejo, Calif. / Aliso Niguel HS"
2021,32,Tate Soderstrom,OF,6-1,,Political Science,R-Jr.,"Turlock, CA / Turlock HS"
2021,33,Cameron Leonard,RHP,6-4,,Psychology,Sr.,"Hemet, CA / Hemet HS"
2021,34,Marc Filia,C/OF,6-2,,Real Estate Development,So.,"Irvine, Calif. / Irvine HS"
2021,35,Brock Kleszcz,OF,6-2,,Real Estate and Development,Fr.,"Valencia, Calif. / Valencia HS"
2021,36,Luke Saunders,OF,5-10,,Business Economics,Fr.,"Walnut Creek, Calif. / Northgate HS"
2021,37,Lonnie Morris,LHP,6-1,,General Biology,Jr.,"Anaheim Hills, Calif. / Orange Lutheran HS"
2021,38,Nic Gregson,RHP,5-10,,Communications,Fr.,"Sacramento, Calif. / Kennedy HS"
2021,39,Ryan Rissas,LHP,6-3,,Business Economics,Fr.,"San Ramon, Calif. / California HS"
2021,40,Michael Mitchell,RHP,6-5,,International Business,Jr.,"Santa Cruz, Calif. / Bellarmine College Prep"
2021,41,Chris Fung,INF,5-9,,Real Estate Development,Jr.,"Foster City, Calif. / Junipero Serra HS"
2021,43,Gredan Velasquez,LHP,5-9,,,R-So.,"Barstow, Calif. / Barstow HS"
2021,44,Chris Gilmartin,LHP,6-4,,Master of Finance,So.,"Murrieta, Calif. / Murrieta Valley HS"
2021,45,Desmond Cabanilla,RHP,6-2,,Cognitive and Behavioral Neuroscience,Fr.,"Berkeley, Calif. / Rancho Bernardo HS"
2021,50,Joe Soberon,RHP,6-1,,Sociology: Law and Society,Fr.,"Concord, Calif. / Clayton Valley Charter HS"
2021,,Jalen Fejeran,RHP/INF,5-10,,Electrical Engineer,So.,"Chula Vista, Calif. / Eastlake High"
2022,2,Luke Saunders,OF,5-10,,Business Economics,So.,"Walnut Creek, Calif. / Northgate HS"
2022,3,Crew Robinson,INF,6-2,,Communications,Jr.,"Cedar Hills, Utah / Lone Peak HS"
2022,4,Izaak Martinez,LHP,5-9,,Master of Public Policy,Jr.,"Glendora, Calif. / Glendora HS"
2022,6,Luke Solis,INF,6-0,,International Business,Fr.,"Chino Hills, Calif. / Ayala HS"
2022,9,Noah Sudyka,INF,6-0,,Real Estate and Development,So.,"Aliso Viejo, Calif. / Aliso Niguel HS"
2022,10,Michael Fuhrman,INF,5-10,,Psychology,Sr.,"Rolling Hills Estates, Calif. / Palos Verdes Peninsula HS"
2022,11,Matt Halbach,OF,6-3,,Business Economics,Fr.,"Los Gatos, Calif. / Archbishop Mitty"
