Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2013,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2013,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2013,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2013,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2013,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2013,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2013,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2013,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2013,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2013,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2013,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2013,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2014,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2014,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2014,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2014,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2014,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2014,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2014,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2014,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2014,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2014,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2014,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2014,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2014,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2014,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
