Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2012,13,Lukas Syka,UTL,6-1,,,Jr.,"San Diego, CA / Westview HS"
2012,14,Brian Donohoe,UTL,6-0,,,Sr.,"Upland, CA / Damien HS"
2012,15,Chris Barton,DRI,6-0,,,Sr.,"Carlsbad, CA / Carlsbad HS"
2012,16,Brian Roach,2MD,6-6,,,Sr.,"San Diego, CA / Soquel HS"
2012,17,David Higginson,DRI,5-8,,,So.,"San Diego, CA / The Bishop's School"
2012,18,Chase Cockerill,UTL,6-2,,,Fr.,"Woodland Hills, CA / Agoura HS"
2012,19,Tiki Toplak,2M,6-0,,,R-Fr.,"Huntington Beach, CA / Huntington Beach HS"
2012,22,Matt Rahn,2M,6-0,,,R-Fr.,"Alamo, CA / Monte Vista HS"
2012,,Jack Bernstein,2MD,5-11,,,Fr.,"Piedmont, CA / Berkeley HS"
2012,,Danny Kahl,UTL,6-1,,,Fr.,"Reno, NV / Reno HS"
2012,,Adam Sarrail,DRI,6-4,,,Fr.,"San Dimas, CA / Damien HS"
2012,,Shane Troutman,DRI,6-2,,,So.,"Corona, CA / Santiago HS"
2012,,Alec Williams,DRI,6-0,,,So.,"La Verne, CA / Bonita HS"
2013,1,Cameron Ravanbach,GK,6-3,,,Jr.,"La Jolla, CA / La Jolla HS"
2013,1,Daniel Schwartz,GK,6-3,,,So.,"Santa Cruz, CA / Soquel HS"
2013,2,Dan Lorch,2M,6-2,,,Jr.,"Camarillo, CA / Moorpark HS"
2013,3,Daniel Straub,UTL,6-1,,,Jr.,"San Diego, CA / Patrick Henry HS"
2013,4,Jack Bernstein,2MD,6-0,,,R-Fr.,"Piedmont, CA / Berkeley HS"
2013,5,Chase Cockerill,UTL,6-2,,,So.,"Woodland Hills, CA / Agoura HS"
2013,6,Connor Watson,DRI,5-11,,,Fr.,"Fair Oaks, CA / Bella Vista HS"
2013,7,Joe Dietrich,UTL,6-2,,,Jr.,"Lafayette, CA / Acalanes HS"
2013,8,Jeffrey Jarvis,UTL,6-2,,,So.,"Tustin, CA / Mater Dei HS"
2013,9,Tiki Toplak,2M,6-0,,,So.,"Huntington Beach, CA / Huntington Beach HS"
2013,11,Tommy Friedrich,2MD,5-11,,,Sr.,"Carlsbad, CA / Carlsbad HS"
2013,12,Matt Michalko,2M,6-1,,,Jr.,"San Diego, CA / The Bishop's School"
2013,13,Luca De Vivo,DRI,6-1,,,Jr.,"Caracas, Venezuela / U.E. Colegio Champagnat"
2013,14,Bryan Lee,DRI,5-10,,,Fr.,"Ventura, CA / Ventura HS"
2013,15,Patrick Harding,UTL,6-1,,,Fr.,"Huntington Beach, CA / Servite HS"
2013,16,Shane Troutman,DRI,6-2,,,So.,"Corona, CA / Santiago HS"
2013,17,David Higginson,DRI,5-8,,,Jr.,"San Diego, CA / The Bishop's School"
2013,18,Stephen Osterberg,UTL,6-0,,,Fr.,"Glendora, CA / Damien HS"
2013,21,Andy Moore,DRI,5-11,,,Fr.,"Agoura Hills, CA / Agoura HS"
2013,22,Nick Alexander,DRI,6-1,,,Fr.,"Clovis, CA / Clovis HS"
2013,,Josh Stiling,DRI,6-4,,,Sr.,"Beaverton, OR / Southridge HS"
2013,,Lukas Syka,UTL,6-2,,,Sr.,"San Diego, CA / Westview HS"
2014,1,Bryan Cook,GK,6-4,,,Jr.,"San Diego, CA / Cathedral Catholic HS"
2014,1,Cameron Ravanbach,GK,6-3,,,Sr.,"La Jolla, CA / La Jolla HS"
2014,1,Jack Turner,GK,6-7,,,Fr.,"Fremont, CA / Bellarmine College Prep"
2014,2,Dan Lorch,2M,6-2,,,Sr.,"Camarillo, CA / Moorpark HS"
2014,3,John Lovat,2M,6-1,,,Jr.,"Huntington Beach, CA / Huntington Beach HS"
2014,4,Jacob Castro,UTL,6-1,,,Jr.,"Stockton, CA / Lincoln HS"
2014,5,Chase Cockerill,UTL,6-3,,,Jr.,"Woodland Hills, CA / Agoura HS"
2014,6,Connor Watson,UTL,6-1,,,So.,"Fair Oaks, CA / Bella Vista HS"
2014,7,Joe Dietrich,2M,6-2,,,Sr.,"Lafayette, CA / Acalanes HS"
2014,8,Lukas Syka,UTL,6-1,,,Sr.,"San Diego, CA / Westview HS"
2014,9,Tiki Toplak,2M,6-1,,,Jr.,"Huntington Beach, CA / Huntington Beach HS"
2014,10,Josh Stiling,UTL,6-4,,,Sr.,"Beaverton, OR / Southridge HS"
2014,12,Matt Michalko,2M,6-1,,,Sr.,"San Diego, CA / The Bishop's School"
2014,13,Luca De Vivo,UTL,6-1,,,Sr.,"Caracas, Venezuela / U.E. Colegio Champagnat"
2014,15,Nicholas Ratekin,2M,6-0,,,So.,"Camarillo, CA / Newbury Park HS"
2014,16,Thomas Higginson,UTL,6-0,,,Fr.,"San Diego, CA / The Bishop's School"
2014,17,David Higginson,UTL,5-8,,,Sr.,"San Diego, CA / The Bishop's School"
2014,21,Andy Moore,DRI,5-11,,,So.,"Agoura Hills, CA / Agoura HS"
2014,22,Nick Alexander,DRI,6-1,,,So.,"Clovis, CA / Clovis HS"
2014,,Austin Fennacy,GK,6-3,,,Fr.,"Clovis, CA / Buchanan HS"
2014,,Patrick Harding,UTL,6-2,,,So.,"Huntington Beach, CA / Servite HS"
2014,,Bryan Lee,DRI,5-11,,,So.,"Ventura, CA / Ventura HS"
2014,,Tyler Mancuso,2M,6-7,,,Jr.,"Laguna Beach, CA / Laguna Beach HS"
2014,,Austin Norris,UTL,6-0,,,Fr.,"Manhattan Beach, CA / Mira Costa HS"
2014,,Daniel Straub,UTL,6-1,,,Sr.,"San Diego, CA / Patrick Henry HS"
2014,,Jacob Stupin,DRI,6-0,,,Fr.,"Orange, CA / Canyon HS"
2014,,Sam Venable,GK,6-6,,,Fr.,"Ventura, CA / Ventura HS"
2015,1,Sam Thompson,GK,6-8,,,Fr.,"Villa Park, CA / Villa Park HS"
2015,1,Jack Turner,GK,6-7,,,Rs.,"Fremont, CA / Bellarmine College Prep"
2015,2,Tyler Mancuso,2M,6-7,,,Sr.,"Laguna Beach, CA / Laguna Beach HS"
2015,3,Jack Ellinthorpe,UTL,6-3,,,Jr.,"Long Beach, CA / Granite Bay HS"
2015,4,Jacob Castro,UTL,6-1,,,Sr.,"Stockton, CA / Lincoln HS"
2015,5,Chase Cockerill,UTL,6-3,,,Sr.,"Woodland Hills, CA / Agoura HS"
2015,6,Cole Martinez,DRI,5-11,,,R-Fr.,"San Diego, CA / La Jolla HS"
2015,7,Nassim Hmeidan,UTL,6-3,,,Jr.,"Agoura Hills, CA / Agoura HS"
2015,8,Rich Farley,UTL,6-1,,,Jr.,"Vista, CA / Carlsbad HS"
